,units,param_type
180,nanograms per deciliter,Mean
181,pg/mg CR,Median
182,g/m^2/hr,Mean
183,mg powder,Median
184,Microns Squared,Mean
185,nocturnal awakenings,Mean
186,pack-years,Median
187,samples,Number
188,Cycles,Median
189,percentage of pockets,Mean
190,milliliter/minute,Median
191,Percentage of predicted FEV1,Mean
192,systemic anticancer regimens,Mean
193,Attacks per month,Mean
194,Gestational Age in Week,Mean
195,Percentage of perdicted TLC,Mean
196,Percent Dilation,Median
197,units on a scale; 0-21,Mean
198,antiarrhythmic drugs,Mean
199,miligram (mg),Mean
200,percentage total blood in left ventricle,Mean
201,picomole per liter (pmol/L),Mean
202,percentage affected,Mean
203,percent risk,Mean
204,Cells/mm^3,Median
205,square meter,Mean
206,Year,Mean
207,kg//m^2,Mean
208,kilogram per square meter (kg/m²),Mean
209,Percentage of Predicted TLC,Mean
210,log IU/mL,Mean
211,Global sleep quality score,Mean
212,square centrimeter,Mean
213,days/month,Mean
214,L,Median
215,Ratio (X100),Mean
216,cubic centimeters (cc),Mean
217,percent of predicted total force,Mean
218,degrees C,Mean
219,percentage of refill gap-days per year,Mean
220,Percent of blood ejected,Mean
221,L/min (liters per minute),Mean
222,gram per deciliter (g/dL),Mean
223,micrograms per liter (mcg/L),Mean
224,milliliters(mL)/minute(min) per 1.73 m^2,Mean
225,Menstrual Blood Loss (ml),Mean
226,proportion of days used alcohol,Mean
227,bursts/100 heartbeats,Mean
228,Cm,Mean
229,Percentage of dilation,Mean
230,unit per liter (U/L),Mean
231,Picogram per milliliter (pg/mL),Median
232,ft,Mean
233,newtons,Mean
234,grams per square centimeters,Mean
235,mg:mg,Mean
236,percentage of patients,Number
237,cells/ml,Mean
238,mU/L x mg/dL,Mean
239,Percentage of hemoglobin,Mean
240,Cells/µL,Mean
241,dB HL,Mean
242,cm3,Median
243,kilograms/meter^2,Mean
244,Z score,Mean
245,Trials,Count of Units
246,Log10(parasites/µL),Median
247,%Bw*Ht,Mean
248,passes,Mean
249,kilograms/(meters squared),Mean
250,weeks post menstrual age,Mean
251,m²,Median
252,number of medications,Mean
253,g,Median
254,cm on Visual Analogue Scale (0-10),Mean
255,lesion Count,Mean
256,umol/l,Mean
257,admissions,Median
258,# cigarettes smoked per day,Mean
259,ML/min,Mean
260,milimeters,Mean
261,Karnofsky performance scale,Mean
262,urge incontinence episodes,Mean
263,micrograms per milliliter (ug/mL),Mean
264,kilogram/meter^2,Mean
265,millimeter/kilograms,Mean
266,log copies/10^6 CD4+T cells,Median
267,thousand platelets/microliter,Mean
268,percentage of fat mass,Mean
269,live birth,Median
270,percentage of correctly recalled words,Mean
271,pmol/L:pmol/L,Geometric Mean
272,Proportion Heavy drinking days,Mean
273,kilograms/square meter,Mean
274,Percent,Mean
275,Nanomole per liter (nmol/L),Mean
276,kilogram per meter squared (kg/m²),Mean
277,centimeter,Median
278,milligrams per deciliter (mg/dL),Median
279,Surgeries,Mean
280,% Achieving MVPA Standard,Number
281,% of Hemoglobin A1c,Mean
282,micromoles/liter,Mean
283,hours,Mean
284,cubic centimeters,Median
285,units/L,Median
286,lines,Median
287,Kilogram [kg],Mean
288,liter,Mean
289,degree,Median
290,number of viable pregnancies,Median
291,Cells per cubic mm,Mean
292,% predicted,Median
293,,Mean
294,times/person/year,Mean
295,degrees celcius,Mean
296,Number of teeth with stressful occlusion,Number
297,severity on Likert-type scale,Mean
298,Vaginal Births,Mean
299,cm/s,Mean
300,Systolic BP (mmHg),Mean
301,mL/min/1.73 m^2,Mean
302,partcipants,Number
303,quit-attempts,Mean
304,kilogram per squaremeter (kg/m^2),Mean
305,units per milliliter,Mean
306,% of ejected ventricular vol of blood,Mean
307,meters (m),Mean
308,Percent Glycated Hemoglobin (unadjusted),Mean
309,percentage of participants,Median
310,percent of cells in sputum sample,Median
311,milli volt,Mean
312,kgˆm2,Mean
313,cms,Median
314,Units of PRBC (packed red blood cells),Median
315,Attending Takeovers,Number
316,percentage of saturated oxygen,Median
317,Unit per liter,Median
318,Lesion type,Number
319,Nano mole per Liter (nmol/L),Median
320,percent HbA1c,Median
321,mL/min/1.75m^2,Mean
322,weeks gestation,Mean
323,min/day,Mean
324,cells/mm^3,Median
325,percent of clot lysis at 30 minutes,Median
326,percentage of peripheral blood,Mean
327,mL/min/1.73 m^2,Median
328,percent of glycated hemoglobin,Mean
329,A1C (%),Mean
330,ng/l,Median
331,pH,Median
332,Incorrect responses,Mean
333,micromoles per liter (μmol/L),Mean
334,g/24hrs,Mean
335,Medications,Median
336,milliliters per kilogram per minute,Mean
337,Events/hour,Mean
338,mcg/ml,Mean
339,percentage of expected mortality,Mean
340,Metastatic sites,Mean
341,relapses,Number
342,mg/dL,Median
343,bouts,Mean
344,Centimeter,Median
345,MET min/week,Mean
346,number of remembered items,Mean
347,hours/week,Mean
348,metastatic sites,Mean
349,kilogram (kg),Median
350,log10 CFU/ml,Median
351,% fat mass,Mean
352,"""OFF"" Episodes/day",Number
353,gram/liter,Mean
354,MilliUnits per Liter,Mean
355,percentage,Number
356,drinks/week,Median
357,Milliseconds,Mean
358,Percentage of predicted SpO2,Mean
359,kilograms/meters squared,Mean
360,Percent insulin sensitivity,Mean
361,mg*uU/dl*ml,Mean
362,drinks per week,Mean
363,kilograms/meters squared (kg/m^2),Mean
364,cells per cmm,Median
365,Percent (of blood emptied),Mean
366,mAU/mL,Median
367,participant,Mean
368,Kcal/session,Mean
369,percentage of total skin area,Mean
370,number of migraine attacks per month,Mean
371,units on a 1-5 Likert scale,Mean
372,Percentage of Potential Donors,Mean
373,mcg/24 hours,Mean
374,years old,Mean
375,log10 copies/mL,Median
376,in-patient admissions,Mean
377,Number of exacerbations per participant,Mean
378,mg/liter,Median
379,log10 copies/ml,Median
380,mg/cm3,Mean
381,Units on a Scale,Median
382,participants with images collected,Number
383,% of ejection fraction,Mean
384,centimete (cm),Mean
385,repetitions x sets/week,Mean
386,Central apneas per hour,Median
387,u/l,Median
388,swollen joints,Mean
389,Tests,Mean
390,(kg/mg^2),Mean
391,average of z-scores,Mean
392,centimeters-squared,Median
393,minutes,Mean
394,Hospitalizations,Mean
395,ISQ scores,Mean
396,eosinophils/high powered field,Mean
397,Percentage of body fat,Mean
398,milligram/kilogram/day,Median
399,Penetration-aspiration scale (1 is best),Median
400,D,Mean
401,CPD,Mean
402,% transferrin,Mean
403,percent HbA1c in blood,Mean
404,Lbs.,Mean
405,mins of moderate and intense activity,Mean
406,lesion counts,Median
407,Month,Mean
408,Kilograms/meters²,Mean
409,millimetres,Mean
410,count of binge episodes per week,Mean
411,Participants by scale,Number
412,SDS,Mean
413,kiligram per meter² (kg/m²),Mean
414,cubic millimetre,Median
415,milligrams/deciliter (mg/dl),Mean
416,pH units,Mean
417,Percent predicted,Geometric Mean
418,mmHg (Goldmann tonometer),Mean
419,cells in a cubic millimetre (cells/mm3),Mean
420,Percentage of CD4 lymphocytes,Mean
421,units/kg,Number
422,percentage of total blast cells,Mean
423,Invasive Ablation Approaches,Number
424,case,Number
425,%predicted,Median
426,kilograms per square meter (kg/m^2),Mean
427,lesion,Mean
428,bpm,Mean
429,dB,Mean
430,micromoles per liter,Mean
431,Percentage of ICU female patient volume,Mean
432,deliveries per participant,Median
433,Patient Visit,Count of Units
434,kg/㎡,Mean
435,standard uptake value ratio (SUVr),Mean
436,percent motility,Mean
437,"%vital capacity, relative to EEL",Mean
438,week,Median
439,LDL-C:HDL-C ratio,Mean
440,kg / m^2,Mean
441,incontinent days per week,Mean
442,Percentage of LVEF,Mean
443,beats per minute,Median
444,percentage of total lymphocytes,Median
445,mU per liter,Mean
446,Gray units,Mean
447,1/ms,Mean
448,microgram per milliliter (mcg/mL),Mean
449,% predicted,Mean
450,degrees Fahrenheit (F),Mean
451,watts,Mean
452,Beats per minute (BPM),Mean
453,Number of lesions,Mean
454,no units,Mean
455,binge episodes/week,Mean
456,ng/mg creatinine,Median
457,(mm Hg),Median
458,percent of participants,Number
459,crying time in minutes,Mean
460,years,Mean
461,Events per hour of sleep,Mean
462,log10 (IU/ml),Mean
463,percentage of abundance,Mean
464,Percentage of mass,Median
465,ml/minute/1.73m2,Mean
466,μg/mL,Mean
467,Log10 copies/mL,Mean
468,par/µL,Mean
469,grams (g),Mean
470,index,Mean
471,percentage of time,Mean
472,patient,Number
473,mcg/kg/min,Median
474,Fat/Fat+Water (%),Median
475,Patient,Number
476,milli meters,Mean
477,kilograms per square meters,Mean
478,pg/dL,Mean
479,mg/ dl,Mean
480,g/d,Median
481,Kenyan Shillings,Mean
482,Kilogramme,Mean
483,miligram per decilitre,Mean
484,People in household,Median
485,Cigarettes per day,Mean
486,u/L,Median
487,cells / mm^3,Mean
488,decibels,Mean
489,pulmonary Exacerbations/year,Mean
490,seizure rate,Mean
491,units/week,Median
492,percent positive urine tox. screenings,Mean
493,Metastatic Lines,Median
494,mcg/L,Mean
495,micrometers (μm),Mean
496,IU/mL,Mean
497,grade,Mean
498,mL/min/173m2,Mean
499,number of times quit smoking,Mean
500,cms,Mean
501,mmol/24hr/1.73m^2,Mean
502,pictures named,Mean
503,Celcius,Mean
504,Applications,Median
505,number of swollen joints,Mean
506,total raw scores by study group,Mean
507,kilograms/square meter (kg/m²),Mean
508,migraines,Mean
509,urgency episodes,Mean
510,Microns,Median
511,"Mean percent of legible letters, & words",Mean
512,Count of 'low' responses (1 or 2),Mean
513,mciu*hr/ml,Mean
514,ratio,Median
515,weeks of gestation,Median
516,Log₁₀ IU/mL,Median
517,International Unit per kilogram (IU/kg),Mean
518,Number of hot flashes per day,Mean
519,LOG counts of bacterial cells,Mean
520,percentage of EBMI loss,Median
521,joint count,Mean
522,psychiatric hospitalizations,Mean
523,log copies/10^6 PBMC,Median
524,milligram per Liter (mg/L),Mean
525,Percentage of risk,Median
526,mEq,Mean
527,clients,Mean
528,total hours/week,Mean
529,Deliveries,Median
530,Hours,Median
531,Years of Education,Mean
532,kilogram/square meter,Mean
533,mohths,Median
534,lymphocyte count/µL,Mean
535,IU/L,Mean
536,kU/L,Median
537,log(picograms/mL),Mean
538,number of times consumed per day,Mean
539,percentage of total body surface area,Mean
540,multiples of ULN,Mean
541,Percent A1c,Mean
542,x10^12/L,Mean
543,nanograms per milliliter,Mean
544,% of nitrogen ingested,Mean
545,Percent,Median
546,tick bites,Mean
547,Centemeters,Mean
548,millimeters of mercury [mmHg],Mean
549,SUV,Mean
550,g/mg,Median
551,percentage of predicted (%),Median
552,Spoken syllables per inspiration,Mean
553,(uIU/mL),Mean
554,ug/mL,Median
555,µV,Mean
556,urgent incontinent episodes per week,Mean
557,AEDs,Mean
558,degrees/second,Mean
559,sum of z scores,Mean
560,%predicted,Mean
561,Degrees Fahrenheit,Mean
562,mm squared,Mean
563,percentage of time <70 mg/dL,Mean
564,kilogram,Median
565,decibel Hearing Level,Mean
566,Percentage of correct naming,Mean
567,Grams per centimeter squared,Mean
568,Tender joints,Mean
569,score: 0-47,Mean
570,Quit attempts,Mean
571,logMAR units,Mean
572,kilograms/square centimeters (kg/cm^2),Mean
573,g / m² / h,Mean
574,number of incompatibilities,Mean
575,Bleeds,Mean
576,chemotherapies,Median
577,g/(Kg*d),Mean
578,Pharmacy,Count of Units
579,units on a pain scale,Mean
580,stairs,Mean
581,kilograms (kg),Mean
582,cm2,Mean
583,arbitrary units,Mean
584,nocturnal voids,Mean
585,total drinks per week,Mean
586,% drug using/heavy drinking days,Median
587,decibels,Median
588,milligrams per day,Median
589,mL/second,Mean
590,cases,Number
591,Urgency Incontinence Episodes,Mean
592,meters squared,Mean
593,kilogram/square meter (kg/m^2),Mean
594,Years Completed,Mean
595,percentage points,Mean
596,*10^6 cells/µL,Mean
597,% of Hemoglobin A1C,Mean
598,kilograms per meter squared,Median
599,microgram/L,Mean
600,VAS 0mm (better) - 100mm (worse),Mean
601,% - percentage,Median
602,visits per patient per year,Mean
603,nmol/mL,Mean
604,percentage of maximum total score,Median
605,micrometer,Median
606,Natural log of k-value,Mean
607,average number of transfusions/patient,Mean
608,Children,Mean
609,% of predicted volume,Mean
610,x10^9 cells/L,Mean
611,nmol/l,Median
612,T-score mean of 50,Median
613,millimeters/hour (mm/hr),Mean
614,Grams,Median
615,kilogram/m^2,Mean
616,grams/dL,Mean
617,pills/day,Mean
618,Millimeter^3,Mean
619,subjects,Number
620,℃,Median
621,number of quit attempts,Mean
622,Number of times pregnant,Mean
623,"% of doses taken, past month",Mean
624,square millimeters,Mean
625,Microgram per milliliter (mcg/mL),Mean
626,trials,Mean
627,millimeters of Mercury (mm Hg),Mean
628,Giga/Liter (L),Mean
629,nanograms per mililiter (ng/mL),Median
630,Years,Median
631,µm^3/µm^2/year,Mean
632,Percentage of glycosylated hemoglobin,Mean
633,feet,Median
634,Numbers of therapy,Mean
635,Times,Mean
636,equivalents total,Mean
637,Tender Joints,Mean
638,push-ups,Mean
639,x 10^6 cells/kg,Mean
640,kcal/wk,Mean
641,percent of total hemoglobin,Mean
642,Expected % Max FVC,Mean
643,Beats per minute,Median
644,male sexual partners,Mean
645,ratios,Mean
646,mismatched antigens,Mean
647,positions recalled,Mean
648,symptom days,Mean
649,mg/gCR,Mean
650,units on a scale,Number
651,percent of predicted FEV1,Mean
652,kg/(meters squared),Mean
653,μg/day,Mean
654,percentage of glycossylated hemoglobin,Mean
655,ng per ml,Mean
656,picograms per milliliter,Mean
657,log 10 copies/mL,Median
658,percentage of EWL,Median
659,Erythromycin-resistant lesion count,Mean
660,pmol.hr/L,Mean
661,Log10(copies/mL),Mean
662,Hemoglobin A1c percentage,Median
663,kg/m∧2,Mean
664,cells/mm^3,Mean
665,None (Index),Mean
666,percentage of BSA,Mean
667,ng/dl,Median
668,kg/m^(2),Mean
669,Percent of doses taken,Mean
670,post menstrual age (PMA) weeks,Mean
671,x 10^9/L,Mean
672,Percent Saturation,Mean
673,"""OFF"" episodes/day",Mean
674,weighted scores on a scale,Mean
675,hour*picogram per milliliter (h*pg/mL),Mean
676,% of CD8+ T-cells,Median
677,Pound,Mean
678,cubic centimeters,Mean
679,Percent of predicted operative mortality,Mean
680,U/L,Median
681,prism diopters,Mean
682,events per hour,Median
683,milliliter (ml),Median
684,kcal/d,Mean
685,log10(IU/ml),Mean
686,ml/min/m^2,Mean
687,kilograms per square meter,Mean
688,percentage of days abstinent,Mean
689,units on scale 0 to 12,Mean
690,log(pmol/mg),Mean
691,min-1,Mean
692,grams per deciliter,Mean
693,unit/kg/day,Mean
694,Micrometer,Mean
695,summary score,Mean
696,grams per day,Mean
697,µg/dL,Mean
698,µEq/mL,Mean
699,Count of pregnancies,Median
700,g/cm^2,Median
701,pg/mg creatinine,Mean
702,percentage of oxygen saturation,Mean
703,Days,Median
704,hour,Median
705,Units/day,Mean
706,unit on scale,Mean
707,μM,Mean
708,number of previous deliveries,Mean
709,%Gag-specific MIP1B+ CD8+ T-cells,Median
710,(% of Body Weight),Mean
711,kilograms per square metter (kg/m^2),Mean
712,cigarette packs,Median
713,weight (kg) / height (m)^2,Mean
714,GPA,Median
715,percentage of body surface area,Mean
716,μm,Mean
717,mL O2/kg/min,Mean
718,Number of responses,Number
719,percentage of glycosylated haemoglobin,Mean
720,Percentile adjusted for weight and heigh,Mean
721,(kg/m^2),Median
722,IU/dL,Mean
723,kg^m2,Median
724,Previous Live Births,Mean
725,seizures,Median
726,injections,Mean
727,Kg/M^2,Median
728,cells/uL,Median
729,tender joint count,Mean
730,kg/(m*m),Mean
731,psi,Mean
732,number of previous recurrences,Mean
733,kUA/L,Median
734,mL/minute/1.73 /m^2,Mean
735,milligrams per liter (mg/L),Mean
736,ml per meter-squared,Mean
737,m²,Mean
738,gm/cm2,Mean
739,cans per week,Mean
740,gm/dl,Mean
741,Study features,Number
742,percent of correct answers,Mean
743,Pounds,Mean
744,percentage of blood,Mean
745,Number,Median
746,mg*min/dL,Mean
747,%saturation,Mean
748,Log10 CFU (colony forming unit),Mean
749,"Currency, US dollars",Mean
750,Joint counts,Mean
751,Percent Body Mass,Mean
752,lbs/(in^2)*703,Mean
753,square meters,Median
754,Dyn*sec/cm^5,Mean
755,units on a scale from 0-10,Median
756,Percentage Points of LVEF (%),Median
757,WASI Score,Mean
758,0-10 units on a Visual Analog scale,Mean
759,mm^3,Mean
760,meter squared,Mean
761,Units on scale,Mean
762,ml/hr,Mean
763,% of predicted normal,Mean
764,Percent Eosinophils,Mean
765,Scores on a scale,Median
766,Rand (South African Currency) per month,Mean
767,Nanograms per milliliter (ng/mL),Median
768,units on a scale -50 to +50,Mean
769,respiratory events per hour,Mean
770,microns,Median
771,kilograms per square meter (kg/m2),Mean
772,participant,Number
773,ECOG units on a scale 0 Best-5 Worst,Mean
774,seizure cluster episodes,Median
775,units on a scale 0-80,Mean
776,FVC percent predicted,Mean
777,Index,Median
778,KPa,Mean
779,log 10 copies,Median
780,weeks,Mean
781,10^3 cells/microL,Mean
782,births,Median
783,Intramuscular morphine equivalents,Mean
784,Percent Body Fat,Mean
785,uU/ml,Mean
786,sum of points,Median
787,10^9 cells/L,Median
788,CDRS-R Score,Mean
789,(IU/L),Mean
790,Normalized units on a scale,Mean
791,millimoles per liter,Mean
792,tooth surface,Mean
793,percentage of TBSA,Mean
794,units on CSDD scale,Mean
795,count of drinks per week,Mean
796,PNES per week,Median
797,10^3 cells per mm^3,Mean
798,Particiapnts,Number
799,mL/min/1.73m^2,Median
800,Lesions,Median
801,cel/µL,Median
802,Kilogram/Square Meter (kg/m²),Mean
803,kilgrams/(meter squared),Median
804,ml/min/kg,Mean
805,cells/µl,Median
806,number of current antidepressant trials,Mean
807,pads/week,Mean
808,alcoolic drinks/week,Mean
809,,Number
810,Percent of participants,Mean
811,log10(pg/mL),Median
812,percentage of CV,Mean
813,%,Median
814,Births,Mean
815,mTBIs,Mean
816,Age at time of randomisation - years,Mean
817,min*mmol/l,Mean
818,DLCO % predicted,Mean
819,average minutes/day,Mean
820,meq/d,Mean
821,(percent change) *minutes,Mean
822,min^-1,Mean
823,Count,Mean
824,Number of metastatic sites,Median
825,grams,Median
826,hips,Number
827,eos/hpf,Mean
828,exacerbations,Median
829,cigarettes/day in previous week,Mean
830,sentinel nodes,Number
831,K per microL,Mean
832,millimoles per litre (mmol/L),Mean
833,percentage of HBA1C in blood,Mean
834,percent days in a week,Mean
835,cell dose per kilogram (x10^-6),Median
836,Microliters,Mean
837,kilogramm/ square meter,Mean
838,percent hemoglobin,Mean
839,Coronary Calcium Score,Mean
840,biologic medications,Mean
841,years or weeks,Mean
842,gram,Median
843,BMI,Mean
844,letters correctly read,Mean
845,m^2,Mean
846,kilograms per meter-squared (kg/m^2),Mean
847,ug/min,Median
848,units/L,Mean
849,Gleason grading,Median
850,diopter,Mean
851,Nm,Mean
852,number of concomitant medications,Median
853,%Gag-specific TNF-alpha CD4+ T-cells,Median
854,diopters (D),Mean
855,dB HL,Median
856,g/cm2,Mean
857,packs per year,Mean
858,log10 IU/ML,Median
859,ug/g,Mean
860,milliliter per minute/1.73 square meter,Mean
861,chronic DDD,Mean
862,g/dl,Median
863,ng/ml,Least Squares Mean
864,Concentration Ratio,Mean
865,Steps,Mean
866,Unit of measure (kg/m2),Median
867,milligram/deciliter*minute (mg/dL*min),Mean
868,Episodes,Count of Units
869,ml/min/1.73m²,Median
870,% left ventricular end-diastolic volume,Median
871,Percentage of glycated hemoglobin,Mean
872,partiipants,Number
873,RU/mL,Mean
874,participants who were treated,Number
875,kilogram/square meter (kg/m2),Mean
876,Percentage of blood,Mean
877,unit/liter,Median
878,kg per meter squared (kg/m^2),Median
879,(g/dL),Mean
880,Percent of surfaces with plaque,Mean
881,ml/kg(min),Mean
882,micromol/l x min,Mean
883,percentage of body fat,Median
884,Liter (L),Mean
885,number of digital ulcers,Mean
886,miu/ml,Number
887,nanograms per deciliter (ng/dL),Mean
888,umol/ml,Mean
889,People in operating room,Mean
890,Kilograms,Number
891,Standard Deviations (SD),Mean
892,limbs,Number
893,kidney stone episodes,Mean
894,Percentage capillary oxygen saturation,Median
895,unitless (ratio),Mean
896,Z Score,Mean
897,flanks,Number
898,Number of HLA marker mismatches,Mean
899,HAE attacks/week,Mean
900,percent of pre treatment value,Mean
901,Percentage of O2 saturation,Mean
902,GA impairments,Mean
903,YEARS,Median
904,comorbidities,Mean
905,mm/s,Mean
906,minute,Median
907,%Ki67+ CD4+ T-cells,Median
908,number of patients,Number
909,miligrams per deciliter,Mean
910,EDSS Score,Mean
911,number of times shot gun,Mean
912,millimeters square (mm^2),Mean
913,Newton Meters,Mean
914,children,Mean
915,units on a scale (T-Score),Mean
916,Percentage of time asleep while in bed,Mean
917,number of condomless sex acts,Mean
918,years,Number
919,Number of targets found,Mean
920,Percentage of indicated parameter,Mean
921,Centimeter (cm),Mean
922,mmols/mol,Mean
923,number of people,Mean
924,cigarettes,Median
925,mmol/day,Mean
926,msec^2,Mean
927,percent impairment,Mean
928,kg per square meter (kg/m^2),Mean
929,*10^9 cells/L,Mean
930,percentage,Median
931,units of insulin/kg/day,Median
932,Nanometer (nm),Mean
933,log10 copies/million CD4 cells,Median
934,Cm^2,Mean
935,log mg/dL,Mean
936,100% X (BMI-50th %ile)/50th %ile,Mean
937,mg/dL,Mean
938,percent Hemoglobin A1c,Mean
939,Pounds-Force,Median
940,units Standardized Outcome Measu,Mean
941,Gram per deciliter (g/dL),Mean
942,Number of hospitalizations,Median
943,"dose of medication, mg",Mean
944,errors at task,Mean
945,milliliters/minute/1.73 meters^2,Mean
946,kg / m2,Mean
947,% cells positive,Geometric Mean
948,Units,Mean
949,ribs,Mean
950,hospitalizations per patient per year,Mean
951,decibel,Median
952,Number of participants,Number
953,% * minutes,Mean
954,Scores on a scale,Number
955,kilogram per m^2,Median
956,uU/mL,Median
957,No units (ratio),Mean
958,Newton-meters,Median
959,percentage of bone volume,Mean
960,Log 10 (PMN/mL),Mean
961,g/d,Mean
962,10E9/L,Mean
963,number of deliveries,Median
964,% composition of blood,Mean
965,kg),Mean
966,lymph nodes,Median
967,Medication (single active ingredient),Mean
968,percentage of predicted value,Mean
969,titers,Median
970,BCVA Letters,Mean
971,Wood Units (mmHg/L/min),Mean
972,T-scores of units on a scale,Mean
973,seizures per 4 weeks,Mean
974,partipants,Number
975,Pack-years,Number
976,gram/liter,Median
977,Pascal/min,Mean
978,µm,Mean
979,ln(percent),Mean
980,Number of children born,Median
981,mg / dl,Mean
982,km,Mean
983,lbs/in^2,Median
984,case,Count of Units
985,meter square,Mean
986,kilograms per meters squared (kg/m2),Mean
987,Percent of FVC,Mean
988,m/s,Mean
989,Cells x1000/ml,Median
990,µm,Number
991,participants,Median
992,calories/day (kcal/day),Mean
993,mEq/L,Median
994,10^6 cells/L,Mean
995,% to target dose,Mean
996,units on a 0-10 scale (higher is worse),Mean
997,Genital herpes recurrences,Mean
