Index,NCTId,Condition,Change,Reference,Variable,Timepoint,Endpoint Art
14,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Global Cognition,At 4 Weeks After Intervention.,Primary Endpoint
15,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Global Cognition,At 12 Weeks After Intervention.,Primary Endpoint
16,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Global Cognition,At 24 Weeks After Intervention.,Primary Endpoint
17,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Memory,At Baseline.,Primary Endpoint
18,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Memory,Immediately After Intervention.,Primary Endpoint
19,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Memory,At 4 Weeks After Intervention.,Primary Endpoint
20,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Memory,At 12 Weeks After Intervention.,Primary Endpoint
21,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Memory,At 24 Weeks After Intervention.,Primary Endpoint
22,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Attention,At Baseline.,Primary Endpoint
23,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Attention,Immediately After Intervention.,Primary Endpoint
24,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Attention,At 4 Weeks After Intervention.,Primary Endpoint
25,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Attention,At 12 Weeks After Intervention.,Primary Endpoint
26,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Attention,At 24 Weeks After Intervention.,Primary Endpoint
27,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Visual/Spatial Function,At Baseline.,Primary Endpoint
28,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Visual/Spatial Function,Immediately After Intervention.,Primary Endpoint
29,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Visual/Spatial Function,At 4 Weeks After Intervention.,Primary Endpoint
30,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Visual/Spatial Function,At 12 Weeks After Intervention.,Primary Endpoint
31,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Visual/Spatial Function,At 24 Weeks After Intervention.,Primary Endpoint
32,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Executive Function,At Baseline.,Primary Endpoint
33,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Executive Function,Immediately After Intervention.,Primary Endpoint
34,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Executive Function,At 4 Weeks After Intervention.,Primary Endpoint
35,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Executive Function,At 12 Weeks After Intervention.,Primary Endpoint
36,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Executive Function,At 24 Weeks After Intervention.,Primary Endpoint
37,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Global,At Baseline.,Secondary Endpoint
38,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Global,Immediately After Intervention.,Secondary Endpoint
39,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Global,At 4 Weeks After Intervention.,Secondary Endpoint
40,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Global,At 12 Weeks After Intervention.,Secondary Endpoint
41,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Global,At 24 Weeks After Intervention.,Secondary Endpoint
42,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Interpersonal Relationship Scale (Irs),At Baseline.,Secondary Endpoint
43,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Interpersonal Relationship Scale (Irs),Immediately After Intervention.,Secondary Endpoint
44,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Interpersonal Relationship Scale (Irs),At 4 Weeks After Intervention.,Secondary Endpoint
45,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Interpersonal Relationship Scale (Irs),At 12 Weeks After Intervention.,Secondary Endpoint
46,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Interpersonal Relationship Scale (Irs),At 24 Weeks After Intervention.,Secondary Endpoint
47,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Geriatric Depression Scale-Short Form (Gds-Sf),At Baseline.,Secondary Endpoint
48,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Geriatric Depression Scale-Short Form (Gds-Sf),Immediately After Intervention.,Secondary Endpoint
49,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Geriatric Depression Scale-Short Form (Gds-Sf),At 4 Weeks After Intervention.,Secondary Endpoint
50,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Geriatric Depression Scale-Short Form (Gds-Sf),At 12 Weeks After Intervention.,Secondary Endpoint
51,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Psychosocial Factors-Geriatric Depression Scale-Short Form (Gds-Sf),At 24 Weeks After Intervention.,Secondary Endpoint
52,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Quality Of Life-Eq5D-Utility,At Baseline.,Secondary Endpoint
53,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Quality Of Life-Eq5D-Utility,Immediately After Intervention.,Secondary Endpoint
54,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Quality Of Life-Eq5D-Utility,At 4 Weeks After Intervention.,Secondary Endpoint
55,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Quality Of Life-Eq5D-Utility,At 12 Weeks After Intervention.,Secondary Endpoint
56,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Quality Of Life-Eq5D-Utility,At 24 Weeks After Intervention.,Secondary Endpoint
57,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Quality Of Life-Eq5D-Visual Analogue,At Baseline.,Secondary Endpoint
58,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Quality Of Life-Eq5D-Visual Analogue,Immediately After Intervention.,Secondary Endpoint
59,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Quality Of Life-Eq5D-Visual Analogue,At 4 Weeks After Intervention.,Secondary Endpoint
60,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Quality Of Life-Eq5D-Visual Analogue,At 12 Weeks After Intervention.,Secondary Endpoint
61,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Quality Of Life-Eq5D-Visual Analogue,At 24 Weeks After Intervention.,Secondary Endpoint
62,NCT04984564,Educational Problems,Not Mentioned,"Feedback Of Individual, Simulator Based Learning, Training On Virtual","Feedback Of Individual, Simulator Based Learning, Training On Virtual",Survey Was Conducted From August To July 2020. Subjects Had Two Month Period To Respond.,Primary Endpoint
63,NCT04984564,Educational Problems,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
64,NCT04984135,"Coronary Stenosis, Drug-Coated Balloon",In-Segment Late Lumen Loss,Not Mentioned,Not Mentioned,6 Months,Primary Endpoint
65,NCT04984135,"Coronary Stenosis, Drug-Coated Balloon",Not Mentioned,Not Mentioned,Target Lesion Failure,6 Months,Secondary Endpoint
66,NCT04983849,"Mmp8, Mmp9, Il1, Il6, Il8, Il17, Tnf Alfa, Rank-L, Opg, Cal, Ppd, Gi, Fmps, Fmbs",Mmp8,Not Mentioned,Not Mentioned,Baseline - 1 Week,Primary Endpoint
67,NCT04983849,"Mmp8, Mmp9, Il1, Il6, Il8, Il17, Tnf Alfa, Rank-L, Opg, Cal, Ppd, Gi, Fmps, Fmbs",Il1,Not Mentioned,Not Mentioned,Baseline - 1 Week,Primary Endpoint
68,NCT04983849,"Mmp8, Mmp9, Il1, Il6, Il8, Il17, Tnf Alfa, Rank-L, Opg, Cal, Ppd, Gi, Fmps, Fmbs",Not Mentioned,Not Mentioned,Rank-L,Baseline - 1 Week,Primary Endpoint
69,NCT04983849,"Mmp8, Mmp9, Il1, Il6, Il8, Il17, Tnf Alfa, Rank-L, Opg, Cal, Ppd, Gi, Fmps, Fmbs",Opg,Not Mentioned,Not Mentioned,Baseline - 1 Week,Primary Endpoint
70,NCT04983849,"Mmp8, Mmp9, Il1, Il6, Il8, Il17, Tnf Alfa, Rank-L, Opg, Cal, Ppd, Gi, Fmps, Fmbs",Cal,Not Mentioned,Not Mentioned,Baseline - 1 Week,Secondary Endpoint
71,NCT04983849,"Mmp8, Mmp9, Il1, Il6, Il8, Il17, Tnf Alfa, Rank-L, Opg, Cal, Ppd, Gi, Fmps, Fmbs",Ppd,Not Mentioned,Not Mentioned,Baseline - 1 Week,Secondary Endpoint
72,NCT04983849,"Mmp8, Mmp9, Il1, Il6, Il8, Il17, Tnf Alfa, Rank-L, Opg, Cal, Ppd, Gi, Fmps, Fmbs",Fmps,Not Mentioned,Not Mentioned,Baseline - 1 Week,Secondary Endpoint
73,NCT04983849,"Mmp8, Mmp9, Il1, Il6, Il8, Il17, Tnf Alfa, Rank-L, Opg, Cal, Ppd, Gi, Fmps, Fmbs",Fmbs,Not Mentioned,Not Mentioned,Baseline - 1 Week,Secondary Endpoint
74,NCT04983719,"Atypical, Myoma",Not Mentioned,"Evaluation, Video","Evaluation, Video",Day 1,Primary Endpoint
75,NCT04983719,"Atypical, Myoma",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
76,NCT04983641,Orthopedic Disorder,Not Mentioned,Not Mentioned,Not Mentioned,1 Week,Primary Endpoint
77,NCT04983641,Orthopedic Disorder,At-Visit Promis Completion Rates,"Orthopaedic Patients, Receiving Reminder E-Mails, Digital Patient Portal (""Mychart"") Message, Messages Prior","Orthopaedic Patients, Receiving Reminder E-Mails, Digital Patient Portal (""Mychart"") Message, Messages Prior",1 Week,Primary Endpoint
78,NCT04983641,Orthopedic Disorder,Not Mentioned,"Orthopaedic Patients, Overall (Pre-Visit, Receiving Reminder E-Mails, Digital Patient Portal (""Mychart"") Message, Messages Prior","Orthopaedic Patients, Overall (Pre-Visit, Receiving Reminder E-Mails, Digital Patient Portal (""Mychart"") Message, Messages Prior",1 Week,Primary Endpoint
79,NCT04983641,Orthopedic Disorder,Promis Form,Not Mentioned,Not Mentioned,1 Week,Secondary Endpoint
80,NCT04983524,"Post-Operative Pain, Chronic, Necrotic Pulp",Not Mentioned,Not Mentioned,Post-Operative Pain,One Week. Line Of 10 Points,Primary Endpoint
81,NCT04983524,"Post-Operative Pain, Chronic, Necrotic Pulp",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
82,NCT04983459,"Prostatic Neoplasms, Recurrence",Rate Per Patient,"Pet-Psma, Biochemical Recurrence, Detection, Detection","Pet-Psma, Biochemical Recurrence, Detection, Detection",12 Months,Primary Endpoint
83,NCT04983459,"Prostatic Neoplasms, Recurrence",Rate Per,"Biochemical Recurrence, Region Of Psma-, Detection, Detection","Biochemical Recurrence, Region Of Psma-, Detection, Detection",12 Months,Secondary Endpoint
84,NCT04983381,"Pelvic Pain, Pelvic Floor; Relaxation",Not Mentioned,Not Mentioned,Pelvic Examination,6 Months,Primary Endpoint
85,NCT04983381,"Pelvic Pain, Pelvic Floor; Relaxation",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
86,NCT04983212,Peri-Implantitis,Peri-Implantitis,Not Mentioned,Not Mentioned,01/01/2015 - 01/01/2020,Primary Endpoint
87,NCT04983212,Peri-Implantitis,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
88,NCT04983160,Chronic Kidney Disease,Not Mentioned,Not Mentioned,"Microparticles Derived From Endothelial Cells, Circulating Endothelial Progenitor Cells Concentration","Data Collected After 4 Weeks, 8 Weeks And 12 Weeks.",Primary Endpoint
89,NCT04983160,Chronic Kidney Disease,Micro Inflammation,Not Mentioned,Not Mentioned,"After Patient Visit (0 Weeks, 4, 8 And 12 Weeks)",Secondary Endpoint
90,NCT04983160,Chronic Kidney Disease,Not Mentioned,Not Mentioned,Blood Pressure,"Each Visit (0 Weeks, 4 Weeks, 8 Weeks And 12 Weeks) For 24 Hours",Secondary Endpoint
91,NCT04983160,Chronic Kidney Disease,Not Mentioned,Not Mentioned,Not Mentioned,"After Patient Visit (0 Weeks, 4 Weeks, 8 Weeks And 12 Weeks)",Secondary Endpoint
92,NCT04983160,Chronic Kidney Disease,Microalbuminuria / Proteinuria,Not Mentioned,Not Mentioned,"Daily, Using First Urine Of The Day As A Sample.",Secondary Endpoint
93,NCT04983147,Obesity,Not Mentioned,Not Mentioned,Scale In Obesity,Up To 12 Weeks,Primary Endpoint
94,NCT04983147,Obesity,Health,"Scale In Obesity, Importance","Scale In Obesity, Importance",Up To 12 Weeks,Primary Endpoint
95,NCT04983147,Obesity,Not Mentioned,Not Mentioned,Not Mentioned,Obesity- Perceived Sensitivity,Primary Endpoint
96,NCT04983147,Obesity,Not Mentioned,Not Mentioned,Not Mentioned,Obesity- Perceived Severity,Primary Endpoint
97,NCT04983147,Obesity,Not Mentioned,Not Mentioned,Not Mentioned,Obesity- Perceived Benefit,Primary Endpoint
98,NCT04983147,Obesity,Not Mentioned,Not Mentioned,Not Mentioned,Obesity- Perceived Barrier,Primary Endpoint
99,NCT04983147,Obesity,Not Mentioned,Not Mentioned,Not Mentioned,Up To 12 Weeks,Primary Endpoint
100,NCT04983147,Obesity,Weighing Machine,Not Mentioned,Not Mentioned,Up To 12 Weeks,Primary Endpoint
101,NCT04983147,Obesity,Body Mass Index Calculation,Not Mentioned,Not Mentioned,Up To 12 Weeks,Primary Endpoint
102,NCT04983147,Obesity,Not Mentioned,Not Mentioned,Scale In Obesity,"Through Study Completion, An Average Of 1 Year",Secondary Endpoint
103,NCT04983147,Obesity,Health,"Scale In Obesity, Importance","Scale In Obesity, Importance","Through Study Completion, An Average Of 1 Year",Secondary Endpoint
104,NCT04983147,Obesity,Not Mentioned,Not Mentioned,Not Mentioned,Obesity- Perceived Sensitivity,Secondary Endpoint
105,NCT04983147,Obesity,Not Mentioned,Not Mentioned,Not Mentioned,Obesity- Perceived Severity,Secondary Endpoint
106,NCT04983147,Obesity,Not Mentioned,Not Mentioned,Not Mentioned,Obesity- Perceived Benefit,Secondary Endpoint
107,NCT04983147,Obesity,Not Mentioned,Not Mentioned,Not Mentioned,Obesity- Perceived Barrier,Secondary Endpoint
108,NCT04983147,Obesity,Not Mentioned,Not Mentioned,Not Mentioned,"Through Study Completion, An Average Of 1 Year",Secondary Endpoint
109,NCT04983147,Obesity,Weighing Machine,Not Mentioned,Not Mentioned,"Through Study Completion, An Average Of 1 Year",Secondary Endpoint
110,NCT04983147,Obesity,Body Mass Index Calculation,Not Mentioned,Not Mentioned,"Through Study Completion, An Average Of 1 Year",Secondary Endpoint
111,NCT04983056,Fournier Gangrene,Number Of Patients,Not Mentioned,Not Mentioned,Six Months,Primary Endpoint
112,NCT04983056,Fournier Gangrene,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
113,NCT04982978,Vaping Related Disorder,Not Mentioned,"Effect, Vaping Intention","Effect, Vaping Intention",6-Weeks,Primary Endpoint
114,NCT04982978,Vaping Related Disorder,Perceived Vulnerability,Effect,Not Mentioned,6-Weeks,Secondary Endpoint
115,NCT04982978,Vaping Related Disorder,Perceived Severity,"Intention, Effect","Intention, Effect",6-Weeks,Secondary Endpoint
116,NCT04982874,Drug Use,Not Mentioned,Not Mentioned,Geometric Mean Ratio,1 Month,Primary Endpoint
117,NCT04982874,Drug Use,Not Mentioned,Not Mentioned,Not Mentioned,90% Confidence,Primary Endpoint
118,NCT04982874,Drug Use,Pharmacokinetics Parameter,Not Mentioned,Not Mentioned,1 Month,Secondary Endpoint
119,NCT04982874,Drug Use,Pharmacokinetics Parameter,Not Mentioned,Not Mentioned,1 Month,Secondary Endpoint
120,NCT04982861,Drug Use,Not Mentioned,Not Mentioned,Geometric Mean Ratio,3 Months,Primary Endpoint
121,NCT04982861,Drug Use,Not Mentioned,Not Mentioned,Not Mentioned,90% Confidence,Primary Endpoint
122,NCT04982861,Drug Use,Pharmacokinetics Parameter,Not Mentioned,Not Mentioned,3 Months,Secondary Endpoint
123,NCT04982861,Drug Use,Pharmacokinetics Parameter,Not Mentioned,Not Mentioned,3 Months,Secondary Endpoint
124,NCT04982809,Interstitial Lung Disease,Not Mentioned,Not Mentioned,Lungen - 6 (Kl-6),3 Months,Primary Endpoint
125,NCT04982809,Interstitial Lung Disease,Not Mentioned,Not Mentioned,Not Mentioned,3 Months,Secondary Endpoint
126,NCT04982809,Interstitial Lung Disease,Not Mentioned,Not Mentioned,Not Mentioned,3 Months,Secondary Endpoint
127,NCT04982809,Interstitial Lung Disease,Not Mentioned,Not Mentioned,Not Mentioned,3 Months,Secondary Endpoint
128,NCT04982809,Interstitial Lung Disease,Not Mentioned,Not Mentioned,Not Mentioned,3 Months,Secondary Endpoint
129,NCT04982809,Interstitial Lung Disease,Not Mentioned,Not Mentioned,Not Mentioned,3 Months,Secondary Endpoint
130,NCT04982601,"Temporomandibular Disorders, Myofascial Pain Dysfunction Syndrome, Temporomandibular Joint Pain, Range Of Motion, Yoga, Quality Of Life",Pittsburg Sleep Quality Index (Puqi),Not Mentioned,Not Mentioned,6 Weeks,Secondary Endpoint
131,NCT04982601,"Temporomandibular Disorders, Myofascial Pain Dysfunction Syndrome, Temporomandibular Joint Pain, Range Of Motion, Yoga, Quality Of Life",Not Mentioned,Not Mentioned,Not Mentioned,6 Weeks,Secondary Endpoint
132,NCT04982601,"Temporomandibular Disorders, Myofascial Pain Dysfunction Syndrome, Temporomandibular Joint Pain, Range Of Motion, Yoga, Quality Of Life",Not Mentioned,Not Mentioned,Not Mentioned,6 Weeks,Secondary Endpoint
133,NCT04982523,Post Traumatic Stress Disorder,Change Of Post-Traumatic Stress Symptoms,Not Mentioned,Not Mentioned,"Baseline, 4 Weeks, 8Weeks",Primary Endpoint
134,NCT04982523,Post Traumatic Stress Disorder,Change,Not Mentioned,Depression,"Baseline, 4 Weeks, 8Weeks",Secondary Endpoint
135,NCT04982523,Post Traumatic Stress Disorder,Not Mentioned,Not Mentioned,Not Mentioned,"Baseline, 4 Weeks, 8Weeks",Secondary Endpoint
136,NCT04982484,"Ophthalmopathy, Wet Macular Degeneration",Reading Speed,Not Mentioned,Not Mentioned,Day 0,Primary Endpoint
137,NCT04982484,"Ophthalmopathy, Wet Macular Degeneration",Reading Speed,Not Mentioned,Not Mentioned,Month 3,Primary Endpoint
138,NCT04982484,"Ophthalmopathy, Wet Macular Degeneration",Not Mentioned,"Visual Acuity, Etdrs Chart Day",Not Mentioned,Day 0,Secondary Endpoint
139,NCT04982484,"Ophthalmopathy, Wet Macular Degeneration",Not Mentioned,"Visual Acuity, Etdrs Chartm3",Not Mentioned,Month 3,Secondary Endpoint
140,NCT04982341,Hypoxemic Respiratory Failure,Number Of Patients,Not Mentioned,Intubation,"Through Study Completion, An Average Of 28 Days",Primary Endpoint
141,NCT04982341,Hypoxemic Respiratory Failure,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
142,NCT04982263,Covid19,Not Mentioned,"Correlation, Results Of Laboratory Test, Disease Severity","Correlation, Results Of Laboratory Test, Disease Severity",Baseline Results Of Coagulation Profile And Baseline Disease Severity Assessment,Primary Endpoint
143,NCT04982263,Covid19,Not Mentioned,"Measured Inflammatory Markers, Coagulation Profile","Measured Inflammatory Markers, Coagulation Profile",Baseline Measurement Of Inflammatory Markers,Secondary Endpoint
144,NCT04982159,Invasive Fusariosis,Clinical Evolution,Not Mentioned,Not Mentioned,6 Weeks After Diagnosis,Primary Endpoint
145,NCT04982159,Invasive Fusariosis,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
146,NCT04982055,Critical Illness,Not Mentioned,Not Mentioned,Anti-Xa Activity,Peak Anti-Xa Activity Obtained 4 Hours After Start Of Low Molecular Weight Heparin Administration,Primary Endpoint
147,NCT04982055,Critical Illness,Auc (,Not Mentioned,Not Mentioned,0-24H,Secondary Endpoint
148,NCT04981652,"Dairy Products, Muscle Protein Synthesis, Aging, Physical Activity",Not Mentioned,Not Mentioned,Not Mentioned,"Assessed At Baseline (Day 0-3), Intervention Diet (4-7) And Intervention Diet + Activity (Day 8-10)",Primary Endpoint
149,NCT04981652,"Dairy Products, Muscle Protein Synthesis, Aging, Physical Activity",Not Mentioned,Not Mentioned,Not Mentioned,"Assessed At Baseline (Day 0-3), Intervention Diet (4-7) And Intervention Diet + Activity (Day 8-10)",Secondary Endpoint
150,NCT04981561,Major Depressive Disorder,Not Mentioned,Not Mentioned,Treatment Emergent Adverse Events,28 Days,Primary Endpoint
151,NCT04981561,Major Depressive Disorder,Not Mentioned,Not Mentioned,Not Mentioned,24 Hours,Secondary Endpoint
152,NCT04981561,Major Depressive Disorder,Not Mentioned,Not Mentioned,Not Mentioned,24 Hours,Secondary Endpoint
153,NCT04981561,Major Depressive Disorder,Not Mentioned,Not Mentioned,Plasma Concentration,72 Hours,Secondary Endpoint
154,NCT04981483,Placenta Accreta,Uterus,Not Mentioned,Not Mentioned,Intraoperative,Primary Endpoint
155,NCT04981483,Placenta Accreta,Number Of Units,Not Mentioned,Not Mentioned,Till 48 Hours Postpartum,Secondary Endpoint
156,NCT04981483,Placenta Accreta,Not Mentioned,Not Mentioned,Rate Of Cesarean Hysterectomy Needed,Intraoperative And 48 Hours Postpartum,Secondary Endpoint
157,NCT04981483,Placenta Accreta,Not Mentioned,Not Mentioned,Puerperal Sepsis,Till 6 Weeks Postpartum,Secondary Endpoint
158,NCT04981379,Covid19,Not Mentioned,Not Mentioned,Clinical Findings,During The Study,Primary Endpoint
159,NCT04981379,Covid19,Complete Resolution,Not Mentioned,Not Mentioned,Fifth Day After Examination,Secondary Endpoint
160,NCT04981379,Covid19,Complete Resolution,Not Mentioned,Not Mentioned,Tenth Day After Examination,Secondary Endpoint
161,NCT04981379,Covid19,Not Mentioned,Not Mentioned,Not Mentioned,Tenth Day After Examination,Secondary Endpoint
162,NCT04981379,Covid19,"Igm,","Determination, Igg Levels","Determination, Igg Levels",Tenth Day After Examination,Secondary Endpoint
